timestamp free_pages compressor_pages swap_used_MB free_pct
2026-03-17 18:09:40 3864 191006 8089.19 28
2026-03-17 18:09:50 10625 187993 8041.19 29
2026-03-17 18:10:00 3709 185289 8017.19 28
2026-03-17 18:10:10 4034 195745 7896.38 26
2026-03-17 18:10:20 4088 195460 8019.69 26
2026-03-17 18:10:30 3537 189736 7982.88 28
2026-03-17 18:10:40 3878 193106 7996.00 27
2026-03-17 18:10:50 3754 187326 7980.00 28
2026-03-17 18:11:00 4757 193728 7962.25 26
2026-03-17 18:11:10 3891 190224 8090.50 27
2026-03-17 18:11:20 3663 193382 8056.38 27
